Time,Sort,Types,Sequences,Rating
0.0155,QuickSort,Serial,1,1.845238095
0.0159,QuickSort,Serial,2,1.827586207
0.0162,QuickSort,Serial,3,1.905882353
0.0157,QuickSort,Serial,4,1.804597701
0.0158,QuickSort,Serial,5,1.837209302
0.0084,QuickSort,Parallel,1,
0.0087,QuickSort,Parallel,2,
0.0085,QuickSort,Parallel,3,
0.0087,QuickSort,Parallel,4,
0.0086,QuickSort,Parallel,5,
45.8,EnumerationSort,Serial,1,8.238891887
42.338,EnumerationSort,Serial,2,8.697206245
42.559,EnumerationSort,Serial,3,8.775051546
42.456,EnumerationSort,Serial,4,8.664489796
42.3383,EnumerationSort,Serial,5,8.659910002
5.559,EnumerationSort,Parallel,1,
4.868,EnumerationSort,Parallel,2,
4.85,EnumerationSort,Parallel,3,
4.9,EnumerationSort,Parallel,4,
4.889,EnumerationSort,Parallel,5,
0.0291,MergeSort,Serial,1,1.94
0.0344,MergeSort,Serial,2,2.023529412
0.034,MergeSort,Serial,3,1.931818182
0.0341,MergeSort,Serial,4,1.971098266
0.0344,MergeSort,Serial,5,2
0.015,MergeSort,Parallel,1,
0.017,MergeSort,Parallel,2,
0.0176,MergeSort,Parallel,3,
0.0173,MergeSort,Parallel,4,
0.0172,MergeSort,Parallel,5,